album_group,album_type,artists,available_markets,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,external_urls.spotify
album,album,,,https://api.spotify.com/v1/albums/57iVS4xHxJlKW3COk2AaIs,57iVS4xHxJlKW3COk2AaIs,,"David Live (2005 Mix, Remastered Version)",1974-10-29,day,21,album,spotify:album:57iVS4xHxJlKW3COk2AaIs,https://open.spotify.com/album/57iVS4xHxJlKW3COk2AaIs
album,album,,,https://api.spotify.com/v1/albums/72mfhbEsMtXR6s7v9UhKe3,72mfhbEsMtXR6s7v9UhKe3,,Diamond Dogs (2016 Remaster),1974-05-24,day,11,album,spotify:album:72mfhbEsMtXR6s7v9UhKe3,https://open.spotify.com/album/72mfhbEsMtXR6s7v9UhKe3
album,album,,,https://api.spotify.com/v1/albums/71nxmbr3tHAVyvdHXc0ltd,71nxmbr3tHAVyvdHXc0ltd,,Pinups (2015 Remaster),1973-10-19,day,12,album,spotify:album:71nxmbr3tHAVyvdHXc0ltd,https://open.spotify.com/album/71nxmbr3tHAVyvdHXc0ltd
album,album,,,https://api.spotify.com/v1/albums/3HZKOk1knxrUU3y5ZIOdbz,3HZKOk1knxrUU3y5ZIOdbz,,Aladdin Sane (2013 Remaster),1973-04-13,day,10,album,spotify:album:3HZKOk1knxrUU3y5ZIOdbz,https://open.spotify.com/album/3HZKOk1knxrUU3y5ZIOdbz
album,album,,,https://api.spotify.com/v1/albums/2jpJVxH5kTzkAATrqXXyHZ,2jpJVxH5kTzkAATrqXXyHZ,,"Ziggy Stardust and the Spiders from Mars: The Motion Picture Soundtrack (Live, 50th Anniversary Edition, 2023 Remaster)",1973,year,20,album,spotify:album:2jpJVxH5kTzkAATrqXXyHZ,https://open.spotify.com/album/2jpJVxH5kTzkAATrqXXyHZ
album,album,,,https://api.spotify.com/v1/albums/48D1hRORqJq52qsnUYZX56,48D1hRORqJq52qsnUYZX56,,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),1972-06-06,day,11,album,spotify:album:48D1hRORqJq52qsnUYZX56,https://open.spotify.com/album/48D1hRORqJq52qsnUYZX56
album,album,,,https://api.spotify.com/v1/albums/6fQElzBNTiEMGdIeY0hy5l,6fQElzBNTiEMGdIeY0hy5l,,Hunky Dory (2015 Remaster),1971-12-17,day,11,album,spotify:album:6fQElzBNTiEMGdIeY0hy5l,https://open.spotify.com/album/6fQElzBNTiEMGdIeY0hy5l
album,album,,,https://api.spotify.com/v1/albums/4h9rWFWhgCSSrvIEQ0YhYG,4h9rWFWhgCSSrvIEQ0YhYG,,The Man Who Sold the World (2015 Remaster),1970-11-04,day,9,album,spotify:album:4h9rWFWhgCSSrvIEQ0YhYG,https://open.spotify.com/album/4h9rWFWhgCSSrvIEQ0YhYG
album,album,,,https://api.spotify.com/v1/albums/65k4mhwVwmys3wkc6ZEVr8,65k4mhwVwmys3wkc6ZEVr8,,Space Oddity (2019 Mix),1969-11-14,day,10,album,spotify:album:65k4mhwVwmys3wkc6ZEVr8,https://open.spotify.com/album/65k4mhwVwmys3wkc6ZEVr8
album,album,,,https://api.spotify.com/v1/albums/1ay9Z4R5ZYI2TY7WiDhNYQ,1ay9Z4R5ZYI2TY7WiDhNYQ,,David Bowie (aka Space Oddity) [2015 Remaster],1969-11-04,day,9,album,spotify:album:1ay9Z4R5ZYI2TY7WiDhNYQ,https://open.spotify.com/album/1ay9Z4R5ZYI2TY7WiDhNYQ
album,album,,,https://api.spotify.com/v1/albums/0FjFEuKt6CoUiY73DMdK5N,0FjFEuKt6CoUiY73DMdK5N,,David Bowie,1967-06-01,day,12,album,spotify:album:0FjFEuKt6CoUiY73DMdK5N,https://open.spotify.com/album/0FjFEuKt6CoUiY73DMdK5N
